OrgUnitId,UserId,RoleName,EnrollmentDate,EnrollmentType,RoleId
307614,7685,Student,1982-06-29T03:24:14,Manual,103
239757,7979,Student,1981-09-14T22:03:26,Manual,103
425165,9651,Student,2024-03-06T12:46:18,Manual,103
629263,9387,Student,2023-02-14T03:05:50,Manual,103
517392,2639,Student,1971-08-19T00:06:58,Manual,103
022641,5043,Student,1976-05-03T18:53:30,Manual,103
730689,7372,Student,1980-05-10T18:05:18,Manual,103
385847,6643,Student,1973-12-10T07:31:20,Manual,103
920868,1230,Student,1996-06-21T14:58:36,Manual,103
592002,8690,Student,1977-05-28T06:10:21,Manual,103
036713,3729,Student,1984-12-29T01:02:33,Manual,103
905772,7149,Student,1990-09-19T01:17:58,Manual,103
648164,4464,Student,2007-08-23T11:10:32,Manual,103
414692,0361,Student,1982-07-03T20:15:35,Manual,103
774748,5589,Student,1995-10-25T03:16:24,Manual,103
533266,9178,Student,2003-02-10T14:18:02,Manual,103
092629,4388,Student,2002-05-30T02:23:54,Manual,103
543257,8333,Student,1977-03-28T04:32:47,Manual,103
063619,2614,Student,1983-02-05T00:49:44,Manual,103
412371,1447,Student,2012-05-17T02:09:19,Manual,103
392255,5515,Student,2009-12-15T13:51:55,Manual,103
438867,2239,Student,2018-08-08T16:48:25,Manual,103
227509,8959,Student,1972-01-19T22:56:36,Manual,103
067589,0230,Student,1993-08-09T01:09:03,Manual,103
207139,8711,Student,1989-09-22T18:12:42,Manual,103
049095,1890,Student,1985-06-16T08:32:30,Manual,103
522118,4817,Student,2010-08-01T16:51:03,Manual,103
730997,3886,Student,1982-09-22T16:05:03,Manual,103
073399,3602,Student,2014-04-28T09:54:08,Manual,103
818372,7985,Student,2008-11-15T23:29:53,Manual,103
687904,3243,Student,2018-09-06T13:45:18,Manual,103
904783,0973,Student,1992-09-08T06:25:37,Manual,103
701040,7662,Student,1970-04-27T10:33:19,Manual,103
187279,4604,Student,1977-11-11T01:17:16,Manual,103
365745,6798,Student,1991-11-13T21:11:20,Manual,103
864636,6226,Student,1989-10-27T10:26:05,Manual,103
636623,3648,Student,2009-06-18T07:37:36,Manual,103
178029,1700,Student,1986-10-11T06:01:11,Manual,103
584321,9125,Student,2022-12-16T11:01:41,Manual,103
938219,5951,Student,2013-01-05T03:49:34,Manual,103
276074,9475,Student,1991-06-10T11:12:30,Manual,103
867233,5915,Student,2015-07-31T16:23:36,Manual,103
960794,9178,Student,2000-01-21T10:16:25,Manual,103
832429,7680,Student,2016-05-11T12:09:54,Manual,103
578902,5325,Student,1986-04-24T12:13:51,Manual,103
582599,5769,Student,2014-05-09T06:30:29,Manual,103
004689,7652,Student,2002-08-15T00:47:10,Manual,103
803096,2173,Student,1988-10-07T11:06:59,Manual,103
773054,9878,Student,1978-08-18T02:30:03,Manual,103
209613,5282,Student,1973-10-18T13:03:23,Manual,103
046246,7830,Student,1980-10-21T12:41:26,Manual,103
322374,5422,Student,2024-05-31T04:37:40,Manual,103
474904,8566,Student,1977-11-18T15:17:29,Manual,103
902379,1178,Student,1984-08-04T01:54:14,Manual,103
392255,4532,Student,2009-07-25T11:19:22,Manual,103
253901,5134,Student,1972-10-17T11:32:22,Manual,103
895377,4279,Student,1976-06-11T14:58:14,Manual,103
115890,3939,Student,2017-04-24T16:01:54,Manual,103
467643,4601,Student,2013-01-16T08:49:29,Manual,103
621258,8017,Student,1987-10-21T12:18:29,Manual,103
051077,3520,Student,2023-08-28T12:02:58,Manual,103
295201,6226,Student,1994-03-09T10:36:53,Manual,103
325589,1806,Student,1973-08-15T09:37:52,Manual,103
171466,3692,Student,1995-01-08T11:16:40,Manual,103
648164,0530,Student,2009-07-12T05:58:47,Manual,103
004854,3540,Student,1992-12-08T10:50:48,Manual,103
214950,5407,Student,1976-10-22T23:39:10,Manual,103
384488,8127,Student,2006-03-19T13:53:34,Manual,103
611866,1146,Student,2018-06-08T04:50:18,Manual,103
158512,1805,Student,1983-03-26T08:35:42,Manual,103
128569,7090,Student,1986-04-14T21:33:09,Manual,103
481784,6726,Student,2002-02-26T15:29:45,Manual,103
028352,8857,Student,1970-12-10T04:02:40,Manual,103
368063,0521,Student,1972-12-05T18:19:16,Manual,103
894909,9550,Student,1978-11-26T20:40:08,Manual,103
753193,8804,Student,1993-08-02T16:29:53,Manual,103
166358,3049,Student,1987-08-16T18:07:46,Manual,103
595110,8756,Student,1996-04-25T04:09:32,Manual,103
158512,0222,Student,2002-05-13T07:57:29,Manual,103
177872,5105,Student,1978-09-18T17:53:17,Manual,103
709159,6605,Student,2017-06-02T03:38:36,Manual,103
379501,7830,Student,1985-06-26T16:51:46,Manual,103
273614,9178,Student,2003-06-16T19:50:19,Manual,103
676001,8685,Student,1994-05-11T00:47:49,Manual,103
512189,0666,Student,2002-01-09T01:38:13,Manual,103
556032,6966,Student,2011-04-01T07:59:23,Manual,103
251911,0027,Student,2018-12-06T03:10:29,Manual,103
401311,9451,Student,1973-04-06T04:42:08,Manual,103
730404,4426,Student,1990-06-16T10:15:28,Manual,103
115890,4349,Student,2006-01-09T18:57:46,Manual,103
715936,1178,Student,2002-02-11T15:59:58,Manual,103
553270,1666,Student,2012-12-08T09:14:03,Manual,103
322629,7090,Student,2008-02-24T02:47:36,Manual,103
942907,0666,Student,1978-08-22T06:37:28,Manual,103
623304,2751,Student,1979-08-22T04:28:01,Manual,103
957216,8959,Student,2016-07-25T10:48:53,Manual,103
841127,5005,Student,2024-06-02T16:26:20,Manual,103
228404,7931,Student,1974-11-09T13:01:20,Manual,103
721257,7090,Student,2019-02-26T11:57:13,Manual,103
228611,0817,Student,1975-06-23T20:06:32,Manual,103
818047,8283,Student,1978-07-28T14:36:08,Manual,103
905772,0766,Student,2001-01-27T19:15:57,Manual,103
306221,2989,Student,2016-07-09T03:18:35,Manual,103
756778,3582,Student,1982-06-14T14:35:14,Manual,103
506484,1254,Student,1971-06-27T01:23:00,Manual,103
960012,0230,Student,2021-07-20T04:50:07,Manual,103
459626,1871,Student,1979-08-12T14:55:39,Manual,103
532538,4998,Student,1970-06-03T07:19:52,Manual,103
762318,9517,Student,1976-01-02T06:48:04,Manual,103
444176,2040,Student,2024-06-26T20:05:47,Manual,103
449845,6199,Student,2014-11-14T19:49:03,Manual,103
929086,4212,Student,2017-09-25T13:51:42,Manual,103
604676,4873,Student,2004-11-11T10:35:41,Manual,103
404448,7819,Student,2019-01-25T17:03:52,Manual,103
068167,6303,Student,2009-01-19T06:10:03,Manual,103
056540,7685,Student,1988-10-17T03:28:46,Manual,103
235803,6234,Student,1997-08-31T02:56:33,Manual,103
142505,7830,Student,2023-07-26T02:32:59,Manual,103
756955,3279,Student,2024-05-23T09:59:06,Manual,103
551535,6226,Student,1979-01-19T22:24:40,Manual,103
146841,4442,Student,1976-06-21T21:49:43,Manual,103
903813,9475,Student,1992-02-26T16:10:50,Manual,103
247358,5544,Student,1984-10-20T23:40:37,Manual,103
416103,9712,Student,1981-06-19T23:41:43,Manual,103
040897,4133,Student,2011-11-03T22:02:26,Manual,103
413024,3372,Student,1999-11-17T15:16:48,Manual,103
634290,6830,Student,1972-09-10T05:06:59,Manual,103
167691,8932,Student,1981-08-18T09:46:09,Manual,103
339512,0023,Student,1970-02-22T03:06:18,Manual,103
519936,0154,Student,1989-12-25T01:11:27,Manual,103
797285,1436,Student,2005-02-11T03:11:48,Manual,103
868662,3720,Student,1970-10-06T04:05:26,Manual,103
