OrgUnitId,Organization,Type,Name,Code,StartDate,EndDate,IsActive,CreatedDate,IsDeleted,DeletedDate,RecycledDate,Version,OrgUnitTypeId
171466,Random University,Course Offering,SWE-8691,36500,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
761518,Random University,Course Offering,FMST-5514,37348,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
745787,Random University,Course Offering,LCJS-3330,30291,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
898636,Random University,Course Offering,SOC-9714,34101,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
286266,Random University,Course Offering,HAA-8503,38385,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
975083,Random University,Course Offering,PHYS-1073,36494,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
974529,Random University,Course Offering,PHYS-8247,38532,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
742723,Random University,Course Offering,LING-6760,32900,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
051305,Random University,Course Offering,ARABIC-8860,38315,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
701970,Random University,Course Offering,NROSCI-0316,33759,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
784661,Random University,Course Offering,ARC-9010,33494,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
735212,Random University,Course Offering,MATH-8986,39407,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
370243,Random University,Course Offering,FMST-1620,38121,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
195031,Random University,Course Offering,PERS-5230,30865,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
561390,Random University,Course Offering,ASL-8047,38359,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
529903,Random University,Course Offering,GREEK-3529,30728,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
312655,Random University,Course Offering,FP-6052,38213,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
586346,Random University,Course Offering,KOREAN-0253,33106,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
884008,Random University,Course Offering,COMMRC-2610,32093,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
583960,Random University,Course Offering,URBNST-6692,35462,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
617162,Random University,Course Offering,QUECH-9671,38647,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
296170,Random University,Course Offering,CHIN-4903,33057,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
251453,Random University,Course Offering,GREEKM-9954,38778,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
206630,Random University,Course Offering,FR-7471,33659,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
032248,Random University,Course Offering,IRISH-4314,36341,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
442907,Random University,Course Offering,ECON-0663,36333,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
000960,Random University,Course Offering,UKRAIN-6503,36396,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
701657,Random University,Course Offering,VIET-2221,32619,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
756778,Random University,Course Offering,HPS-2557,37749,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
553270,Random University,Course Offering,ENGWRT-2602,34675,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
412945,Random University,Course Offering,STAT-1327,34923,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
158512,Random University,Course Offering,ENGLIT-7407,31098,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
603702,Random University,Course Offering,HPS-5133,39223,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
147693,Random University,Course Offering,SA-2321,37890,2025-06-01T04:00:00,2025-08-17T04:00:00,TRUE,2025-03-01T04:00:00,FALSE,,,444891467936,3
